30,1
20400,1
14404374,2
143997065,2
2000000,1
1000000,1
1920800,1
73049,1
7200,1
20,1
399330000,2
204000,2
1000,2
55,2
20,1
402,2
28795080,2
287997024,2
86400,1
15,2
2040,1
7197670,2
72001237,2
24,2
30,1
20400,2
14404374,2
143997065,2
2000000,2
1000000,2
1920800,2
73049,2
7200,1
20,1
399330000,2
204000,2
1000,1
55,1
20,1
402,1
28795080,2
287997024,2
86400,2
15,1
2040,1
7197670,2
72001237,2
24,1
8,1
11718,1
7197954,2
71997669,2
766000,2
383000,2
1920800,1
73049,1
7200,1
20,1
56638827,2
62000,1
522,1
39,1
20,1
144,1
14392680,2
144004764,2
86400,1
7,1
876,1
3598924,2
35996850,2
22,1
8,2
11718,2
7197954,2
71997669,2
766000,2
383000,2
1920800,2
73049,2
7200,1
20,1
56638827,1
62000,2
522,1
39,1
20,1
144,1
14392680,2
144004764,2
86400,2
7,1
876,1
3598924,2
35996850,2
22,1
6,1
11718,1
2882133,2
28803583,2
266000,2
133000,1
1920800,1
73049,1
7200,1
20,1
18271305,2
28000,1
355,1
36,1
20,1
44,1
5755095,2
57598932,2
86400,1
5,1
264,1
1439266,2
14396103,2
28,1
6,1
11718,2
2882133,2
28803583,2
266000,2
133000,2
1920800,2
73049,2
7200,1
20,1
18271305,1
28000,2
355,1
36,1
20,1
44,1
5755095,2
57598932,2
86400,2
5,1
264,1
1439266,2
14396103,2
28,1
6,1
11718,1
2160757,2
21602679,2
183000,1
91000,1
1920800,1
73049,1
7200,1
20,1
14356305,2
22000,1
327,1
35,1
20,1
28,1
4315222,2
43197400,2
86400,1
5,1
162,1
1079028,2
10795812,2
30,1
6,1
11718,2
2160757,2
21602679,2
183000,2
91000,2
1920800,2
73049,2
7200,1
20,1
14356305,2
22000,2
327,1
35,1
20,1
28,1
4315222,2
43197400,2
86400,2
5,1
162,1
1079028,2
10795812,2
30,1
24,1
12000,1
1439749,2
14401261,2
500000,2
250000,1
1920800,1
73049,1
7200,1
20,1
133110000,2
102000,1
500,1
45,1
20,1
102,1
2875432,2
28800991,2
86400,1
10,1
200,1
719217,2
7197566,2
42,1
24,1
12000,2
1439749,2
14401261,2
500000,2
250000,2
1920800,2
73049,2
7200,1
20,1
133110000,1
102000,2
500,1
45,1
20,1
102,1
2875432,2
28800991,2
86400,2
10,1
200,1
719217,2
7197566,2
42,1
14,1
11718,1
720174,2
7199490,2
277000,1
138000,1
1920800,1
73049,1
7200,1
20,1
49329000,2
54000,1
388,1
39,1
20,1
52,1
1437911,2
14400052,2
86400,1
7,1
122,1
359991,2
3599503,2
34,1
14,1
11718,2
720174,2
7199490,2
277000,2
138000,2
1920800,2
73049,2
7200,1
20,1
49329000,1
54000,2
388,1
39,1
20,1
52,1
1437911,2
14400052,2
86400,1
7,1
122,1
359991,2
3599503,2
34,1
